genome_ID	OTU	NCBI_ID	novelty_category
MAG0455.0	455	2	known_strain
MAG0456.0	456	2	known_strain
MAG0457.0	457	2	known_strain
MAG0458.0	458	2	known_strain
MAG0459.0	459	2	known_strain
MAG0460.0	460	2	known_strain
MAG0461.0	461	2	known_strain
MAG0462.0	462	2	known_strain
MAG0463.0	463	2	known_strain
MAG0464.0	464	2	known_strain
MAG0465.0	465	2	known_strain
MAG0466.0	466	2	known_strain
MAG0467.0	467	2	known_strain
MAG0468.0	468	2	known_strain
MAG0469.0	469	2	known_strain
MAG0470.0	470	2	known_strain
MAG0471.0	471	2	known_strain
MAG0472.0	472	2	known_strain
MAG0473.0	473	2	known_strain
MAG0474.0	474	2	known_strain
MAG0475.0	475	2	known_strain
MAG0476.0	476	2	known_strain
MAG0477.0	477	2	known_strain
MAG0478.0	478	2	known_strain
MAG0479.0	479	2	known_strain
MAG0480.0	480	2	known_strain
MAG0481.0	481	2	known_strain
MAG0482.0	482	2	known_strain
MAG0483.0	483	2	known_strain
MAG0484.0	484	2	known_strain
MAG0485.0	485	2	known_strain
MAG0486.0	486	2	known_strain
MAG0487.0	487	2	known_strain
MAG0488.0	488	2	known_strain
MAG0489.0	489	2	known_strain
MAG0490.0	490	2	known_strain
MAG0491.0	491	2	known_strain
MAG0492.0	492	2	known_strain
MAG0493.0	493	2	known_strain
MAG0494.0	494	2	known_strain
MAG0495.0	495	2	known_strain
MAG0496.0	496	2	known_strain
MAG0497.0	497	2	known_strain
MAG0498.0	498	2	known_strain
MAG0499.0	499	2	known_strain
MAG0500.0	500	2	known_strain
MAG0501.0	501	2	known_strain
MAG0502.0	502	2	known_strain
MAG0503.0	503	2	known_strain
MAG0504.0	504	2	known_strain
MAG0505.0	505	2	known_strain
MAG0506.0	506	2	known_strain
MAG0507.0	507	2	known_strain
MAG0508.0	508	2	known_strain
MAG0509.0	509	2	known_strain
MAG0510.0	510	2	known_strain
MAG0511.0	511	2	known_strain
MAG0512.0	512	2	known_strain
MAG0513.0	513	2	known_strain
MAG0514.0	514	2	known_strain
MAG0515.0	515	2	known_strain
MAG0516.0	516	2	known_strain
MAG0517.0	517	2	known_strain
MAG0518.0	518	2	known_strain
MAG0519.0	519	2	known_strain
MAG0520.0	520	2	known_strain
MAG0521.0	521	2	known_strain
MAG0522.0	522	2	known_strain
MAG0523.0	523	2	known_strain
MAG0524.0	524	2	known_strain
MAG0525.0	525	2	known_strain
MAG0526.0	526	2	known_strain
MAG0527.0	527	2	known_strain
MAG0528.0	528	2	known_strain
MAG0529.0	529	2	known_strain
MAG0530.0	530	2	known_strain
MAG0531.0	531	2	known_strain
MAG0532.0	532	2	known_strain
MAG0533.0	533	2	known_strain
MAG0534.0	534	2	known_strain
MAG0535.0	535	2	known_strain
MAG0536.0	536	2	known_strain
MAG0537.0	537	2	known_strain
MAG0538.0	538	2	known_strain
MAG0539.0	539	2	known_strain
MAG0540.0	540	2	known_strain
MAG0541.0	541	2	known_strain
MAG0542.0	542	2	known_strain
MAG0543.0	543	2	known_strain
MAG0544.0	544	2	known_strain
MAG0545.0	545	2	known_strain
MAG0546.0	546	2	known_strain
MAG0547.0	547	2	known_strain
MAG0548.0	548	2	known_strain
MAG0549.0	549	2	known_strain
MAG0550.0	550	2	known_strain
MAG0551.0	551	2	known_strain
MAG0552.0	552	2	known_strain
MAG0553.0	553	2	known_strain
MAG0554.0	554	2	known_strain
MAG0555.0	555	2	known_strain
MAG0556.0	556	2	known_strain
MAG0557.0	557	2	known_strain
MAG0558.0	558	2	known_strain
MAG0559.0	559	2	known_strain
MAG0560.0	560	2	known_strain
MAG0561.0	561	2	known_strain
MAG0562.0	562	2	known_strain
MAG0563.0	563	2	known_strain
MAG0564.0	564	2	known_strain
MAG0565.0	565	2	known_strain
MAG0566.0	566	2	known_strain
MAG0567.0	567	2	known_strain
MAG0568.0	568	2	known_strain
MAG0569.0	569	2	known_strain
MAG0570.0	570	2	known_strain
MAG0571.0	571	2	known_strain
MAG0572.0	572	2	known_strain
MAG0573.0	573	2	known_strain
MAG0574.0	574	2	known_strain
MAG0575.0	575	2	known_strain
MAG0576.0	576	2	known_strain
MAG0577.0	577	2	known_strain
MAG0578.0	578	2	known_strain
MAG0579.0	579	2	known_strain
MAG0580.0	580	2	known_strain
MAG0581.0	581	2	known_strain
MAG0582.0	582	2	known_strain
MAG0583.0	583	2	known_strain
MAG0584.0	584	2	known_strain
MAG0585.0	585	2	known_strain
MAG0586.0	586	2	known_strain
MAG0587.0	587	2	known_strain
MAG0588.0	588	2	known_strain
MAG0589.0	589	2	known_strain
MAG0590.0	590	2	known_strain
MAG0591.0	591	2	known_strain
MAG0592.0	592	2	known_strain
MAG0593.0	593	2	known_strain
MAG0594.0	594	2	known_strain
MAG0595.0	595	2	known_strain
MAG0596.0	596	2	known_strain
MAG0597.0	597	2	known_strain
MAG0598.0	598	2	known_strain
MAG0599.0	599	2	known_strain
MAG0600.0	600	2	known_strain
MAG0601.0	601	2	known_strain
MAG0602.0	602	2	known_strain
MAG0603.0	603	2	known_strain
MAG0604.0	604	2	known_strain
MAG0605.0	605	2	known_strain
MAG0606.0	606	2	known_strain
MAG0607.0	607	2	known_strain
MAG0608.0	608	2	known_strain
MAG0609.0	609	2	known_strain
MAG0610.0	610	2	known_strain
MAG0611.0	611	2	known_strain
MAG0612.0	612	2	known_strain
MAG0613.0	613	2	known_strain
MAG0614.0	614	2	known_strain
MAG0615.0	615	2	known_strain
MAG0616.0	616	2	known_strain
MAG0617.0	617	2	known_strain
MAG0618.0	618	2	known_strain
MAG0619.0	619	2	known_strain
MAG0620.0	620	2	known_strain
MAG0621.0	621	2	known_strain
MAG0622.0	622	2	known_strain
MAG0623.0	623	2	known_strain
MAG0624.0	624	2	known_strain
MAG0625.0	625	2	known_strain
MAG0626.0	626	2	known_strain
MAG0627.0	627	2	known_strain
MAG0628.0	628	2	known_strain
MAG0629.0	629	2	known_strain
MAG0630.0	630	2	known_strain
MAG0631.0	631	2	known_strain
MAG0632.0	632	2	known_strain
MAG0633.0	633	2	known_strain
MAG0634.0	634	2	known_strain
MAG0635.0	635	2	known_strain
MAG0636.0	636	2	known_strain
MAG0637.0	637	2	known_strain
MAG0638.0	638	2	known_strain
MAG0639.0	639	2	known_strain
MAG0640.0	640	2	known_strain
MAG0641.0	641	2	known_strain
MAG0642.0	642	2	known_strain
MAG0643.0	643	2	known_strain
MAG0644.0	644	2	known_strain
MAG0645.0	645	2	known_strain
MAG0646.0	646	2	known_strain
MAG0647.0	647	2	known_strain
MAG0648.0	648	2	known_strain
MAG0649.0	649	2	known_strain
MAG0650.0	650	2	known_strain
MAG0651.0	651	2	known_strain
MAG0652.0	652	2	known_strain
MAG0653.0	653	2	known_strain
MAG0654.0	654	2	known_strain
MAG0655.0	655	2	known_strain
MAG0656.0	656	2	known_strain
MAG0657.0	657	2	known_strain
MAG0658.0	658	2	known_strain
MAG0659.0	659	2	known_strain
MAG0660.0	660	2	known_strain
MAG0661.0	661	2	known_strain
MAG0662.0	662	2	known_strain
MAG0663.0	663	2	known_strain
MAG0664.0	664	2	known_strain
MAG0665.0	665	2	known_strain
MAG0666.0	666	2	known_strain
MAG0667.0	667	2	known_strain
MAG0668.0	668	2	known_strain
MAG0669.0	669	2	known_strain
MAG0670.0	670	2	known_strain
MAG0671.0	671	2	known_strain
MAG0672.0	672	2	known_strain
MAG0673.0	673	2	known_strain
MAG0674.0	674	2	known_strain
MAG0675.0	675	2	known_strain
MAG0676.0	676	2	known_strain
MAG0677.0	677	2	known_strain
MAG0678.0	678	2	known_strain
MAG0679.0	679	2	known_strain
MAG0680.0	680	2	known_strain
MAG0681.0	681	2	known_strain
MAG0682.0	682	2	known_strain
MAG0683.0	683	2	known_strain
MAG0684.0	684	2	known_strain
MAG0685.0	685	2	known_strain
MAG0686.0	686	2	known_strain
MAG0687.0	687	2	known_strain
MAG0688.0	688	2	known_strain
MAG0689.0	689	2	known_strain
MAG0690.0	690	2	known_strain
MAG0691.0	691	2	known_strain
MAG0692.0	692	2	known_strain
MAG0693.0	693	2	known_strain
MAG0694.0	694	2	known_strain
MAG0695.0	695	2	known_strain
MAG0696.0	696	2	known_strain
MAG0697.0	697	2	known_strain
MAG0698.0	698	2	known_strain
MAG0699.0	699	2	known_strain
MAG0700.0	700	2	known_strain
MAG0701.0	701	2	known_strain
MAG0702.0	702	2	known_strain
MAG0703.0	703	2	known_strain
MAG0704.0	704	2	known_strain
MAG0705.0	705	2	known_strain
MAG0706.0	706	2	known_strain
MAG0707.0	707	2	known_strain
MAG0708.0	708	2	known_strain
MAG0709.0	709	2	known_strain
MAG0710.0	710	2	known_strain
MAG0711.0	711	2	known_strain
MAG0712.0	712	2	known_strain
